Slip Angle,Lateral Force,Normal Force
0.001,-24.92,-224.16
0.001,-32.52,-222.22
0.002,-41.66,-222.55
0.003,-49.71,-216.17
0.004,-58.2,-219.15
0.004,-68.22,-218.62
0.005,-79.47,-220.85
0.005,-91.85,-223.18
0.006,-101.29,-225.24
0.007,-111.79,-227.55
0.008,-124.19,-227.74
0.009,-136.02,-230.03
0.01,-146.49,-231.22
0.01,-157.45,-228.24
0.011,-164.47,-227.9
0.012,-173.35,-226.73
0.013,-182.1,-225.63
0.013,-191.76,-226.07
0.014,-200.22,-231.07
0.015,-209.68,-232.72
0.015,-220.25,-233.16
0.016,-229.31,-237.64
0.017,-238.04,-237.76
0.017,-247.13,-235.73
0.018,-253.21,-236.41
0.018,-256.7,-234.74
0.019,-259.54,-231.07
0.02,-261.03,-229.28
0.02,-264.48,-232.23
0.021,-271.23,-234.28
0.022,-279.36,-237.65
0.022,-289.8,-239.03
0.023,-300.18,-241.1
0.024,-310.77,-239.83
0.025,-316.81,-243.36
0.025,-323.31,-245.86
0.026,-326.58,-241.08
0.027,-325.5,-238.39
0.028,-325.82,-237.45
0.028,-327.11,-236.58
0.029,-330.57,-239.19
0.03,-340.19,-241.41
0.03,-349.74,-241.79
0.031,-363.2,-244.8
0.032,-369.46,-246.08
0.032,-378.38,-245.89
0.033,-379.85,-246.3
0.034,-379.15,-246.2
0.034,-372.64,-238.72
0.035,-371.29,-237.77
0.036,-368.68,-231.97
0.036,-371.45,-234.47
0.037,-377.93,-236.42
0.038,-389.36,-237.2
0.039,-399.61,-241.15
0.04,-407.96,-243.5
0.04,-412.75,-240.85
0.041,-413.4,-240.37
0.042,-412.01,-238.63
0.042,-405.75,-237.36
0.043,-401.43,-231.84
0.044,-398.13,-230.16
0.044,-398.01,-228.1
0.045,-403.58,-229.07
0.046,-413.37,-230.37
0.046,-425.13,-232.21
0.047,-433.33,-237.1
0.047,-438.79,-236.42
0.048,-438.19,-234.4
0.049,-436.89,-233.58
0.05,-431.45,-231.49
0.05,-424.37,-227.75
0.051,-418.68,-224.61
0.052,-417.33,-221.54
0.052,-420.89,-223.48
0.053,-429.98,-223.24
0.054,-440.92,-225.76
0.055,-449.63,-226.88
0.055,-454.83,-228.41
0.056,-458.36,-230.34
0.057,-457.54,-229.61
0.058,-454.17,-226.83
0.058,-447.08,-226.01
0.059,-440.75,-221.62
0.06,-437.57,-218.43
0.061,-439.4,-219.7
0.061,-446.41,-221.15
0.062,-455.86,-222.67
0.063,-466.38,-222.54
0.063,-475.41,-226.31
0.064,-479.49,-226.69
0.064,-478.86,-225.99
0.065,-476.25,-226.52
0.066,-469.04,-225.25
0.066,-460.9,-220.94
0.067,-453.25,-216.5
0.068,-451.15,-215.57
0.068,-455.36,-217.37
0.069,-465.72,-217.67
0.07,-478.32,-221.61
0.07,-488.36,-223.42
0.071,-494.18,-225.9
0.072,-496.23,-224.79
0.073,-492.6,-224.02
0.073,-486.43,-223.62
0.074,-476.74,-219.14
0.075,-468.48,-216.47
0.076,-462.79,-214.55
0.076,-462.7,-213.96
0.077,-473.33,-215.96
0.078,-484.76,-218.04
0.079,-496.15,-220.75
0.079,-505.41,-222.54
0.08,-508.43,-223.79
0.08,-505.19,-223.77
0.081,-502.37,-221.97
0.082,-493.19,-223.01
0.083,-482.84,-217.81
0.084,-476.11,-215.53
0.084,-476.01,-213.96
0.085,-483.5,-216.63
0.085,-497.16,-219.03
0.086,-509.9,-220.75
0.087,-520.29,-224.05
0.088,-522.9,-221.1
0.088,-522.91,-224.9
0.089,-516.66,-224.44
0.09,-509.16,-223.81
0.09,-500.14,-218
0.091,-491.9,-214.26
0.092,-486.12,-215.17
0.092,-490.31,-214.11
0.093,-502.06,-217.41
0.094,-512.65,-219.12
0.095,-523.66,-221.64
0.095,-528.58,-223.52
0.096,-528.36,-223.6
0.096,-525.11,-223.93
0.097,-520.84,-222.22
0.098,-514.18,-220.71
0.099,-505.67,-218.42
0.099,-498.92,-215.1
0.1,-498.14,-215.47
0.101,-504.2,-215.63
0.102,-515.35,-218.52
0.102,-525.07,-221.93
0.103,-534.85,-222.04
0.104,-536.88,-221.98
0.104,-537.3,-222.91
0.105,-533.36,-221.31
0.106,-527.94,-222.59
0.107,-519.47,-218.99
0.107,-510.48,-216.78
0.108,-504.21,-213.57
0.108,-506.82,-215.28
0.109,-515.47,-216.36
0.11,-527.17,-218.57
0.11,-537.39,-221.78
0.111,-544.41,-222.5
0.112,-544.22,-223.46
0.113,-541.52,-220.85
0.113,-535.97,-221.35
0.114,-529.14,-220.72
0.115,-518.69,-219.21
0.115,-509.66,-214.47
0.116,-506.98,-213.6
0.117,-511.72,-213.66
0.117,-525.6,-217.09
0.118,-537.43,-218.76
0.119,-547.76,-220.48
0.12,-552.74,-223.72
0.121,-551.41,-222.88
0.121,-547.14,-223.17
0.122,-540.41,-221.61
0.123,-529.17,-220.13
0.123,-518.81,-214.92
0.124,-512.57,-212.69
0.125,-513.21,-212.8
0.125,-522.84,-214.09
0.126,-536.6,-217.48
0.127,-549.8,-218.66
0.127,-555.38,-224
0.128,-555.43,-224.96
0.129,-552.62,-222.78
0.13,-546.42,-222.82
0.13,-539.42,-219.48
0.131,-528.43,-217.18
0.132,-520.03,-214.69
0.132,-515.89,-213.42
0.133,-522.18,-213.69
0.134,-534,-218.11
0.134,-545.63,-218.95
0.135,-551,-218.32
0.136,-553.18,-219.05
0.136,-550.45,-220.7
0.137,-547.66,-219.02
0.138,-543,-218.14
0.138,-535.43,-218.07
0.139,-527.14,-213.73
0.14,-520.93,-212.35
0.14,-520.06,-210.98
